target,feature,pearson_r,abs_r
CC,unique_word_count,0.2765221003053167,0.2765221003053167
CC,root_ttr,0.2581288462800361,0.2581288462800361
CC,char_count,0.2573346711994683,0.2573346711994683
CC,word_count,0.20892397605203988,0.20892397605203988
CC,avg_content_word_len,0.20127216522436958,0.20127216522436958
CC,avg_word_len,0.1846173698890379,0.1846173698890379
CC,long_word_ratio,0.1826871139802448,0.1826871139802448
CC,paragraph_count,0.17707140590853157,0.17707140590853157
CC,top_content_word_ratio,-0.14757268699042422,0.14757268699042422
CC,exemplification_connective_count,0.1418217677315267,0.1418217677315267
CC,flesch_reading_ease_proxy,-0.13990429355558726,0.13990429355558726
CC,conclusive_connective_count,0.13984141444872913,0.13984141444872913
CC,lexical_density,0.13465223958840178,0.13465223958840178
CC,adjacent_sentence_overlap_std,-0.1336639455566183,0.1336639455566183
CC,lowercase_i_per_100,-0.13137435242680368,0.13137435242680368
CC,adjacent_sentence_overlap_mean,-0.1177966443712629,0.1177966443712629
CC,very_short_sentence_ratio,-0.11582093278163655,0.11582093278163655
CC,complex_sentence_ratio,0.11215782371788488,0.11215782371788488
CC,paragraph_len_cv,0.11142833578195499,0.11142833578195499
CC,has_intro_body_conclusion,0.10973107343639972,0.10973107343639972
CC,lexical_chain_count,0.10626752026396008,0.10626752026396008
CC,content_repetition_ratio,-0.1056126847190726,0.1056126847190726
CC,connective_count,0.10322487941612103,0.10322487941612103
CC,lexical_chain_coverage,-0.10092382059894778,0.10092382059894778
CC,bigram_diversity,0.09204694038264148,0.09204694038264148
CC,transition_sentence_start_ratio,0.08951570861778747,0.08951570861778747
CC,intro_body_jaccard,-0.08636488440072515,0.08636488440072515
CC,prompt_overlap,0.0850755070419539,0.0850755070419539
CC,sentence_len_std,-0.08318742938393049,0.08318742938393049
CC,paragraph_len_std,0.08269609150723191,0.08269609150723191
CC,repeated_word_error_per_100,-0.08256004582147189,0.08256004582147189
CC,informal_word_ratio,-0.07601506068698169,0.07601506068698169
CC,body_prompt_overlap,0.07524485754047011,0.07524485754047011
CC,trigram_diversity,0.07417058238466621,0.07417058238466621
CC,contrastive_connective_count,0.07409721251365287,0.07409721251365287
CC,type_token_ratio,0.07174987909996866,0.07174987909996866
CC,avg_lexical_chain_size,-0.07068057215956129,0.07068057215956129
CC,flesch_kincaid_grade_proxy,0.06664464868432692,0.06664464868432692
CC,comma_per_sentence,0.06311251070781165,0.06311251070781165
CC,sentence_count,0.059418844494838606,0.059418844494838606
CC,body_conclusion_jaccard,-0.05751869663337196,0.05751869663337196
CC,comma_splice_proxy,0.04551604509571279,0.04551604509571279
CC,very_long_sentence_ratio,-0.0449056850193127,0.0449056850193127
CC,run_on_sentence_ratio,-0.0449056850193127,0.0449056850193127
CC,causal_connective_count,0.03573092459495531,0.03573092459495531
CC,academic_word_ratio,0.02906959840089156,0.02906959840089156
CC,additive_connective_count,0.028688820549318726,0.028688820549318726
CC,intro_thesis_signal,0.027272082194995877,0.027272082194995877
CC,conclusion_signal,0.02611154084621429,0.02611154084621429
CC,num_large_lexical_chains,-0.023919450371314432,0.023919450371314432
CC,conclusion_prompt_overlap,0.02312728775776871,0.02312728775776871
CC,simple_sva_error_per_100,-0.022418628883023504,0.022418628883023504
CC,intro_prompt_overlap,0.020821617644786163,0.020821617644786163
CC,sentence_start_repetition_ratio,0.018660517982626693,0.018660517982626693
CC,subordinator_ratio,-0.01826265610381833,0.01826265610381833
CC,avg_paragraph_len,-0.015700012955771645,0.015700012955771645
CC,intro_conclusion_jaccard,-0.013553904125664137,0.013553904125664137
CC,connective_per_sentence,-0.012603986341773192,0.012603986341773192
CC,temporal_connective_count,0.01174259913168873,0.01174259913168873
CC,prompt_bigram_overlap,-0.009616473120067779,0.009616473120067779
CC,semicolon_colon_per_sentence,-0.00733578237353381,0.00733578237353381
CC,prompt_word_count,0.006796757633828815,0.006796757633828815
CC,avg_sentence_len,-0.0060899465307046735,0.0060899465307046735
GRA,root_ttr,0.2959418652503485,0.2959418652503485
GRA,unique_word_count,0.29499158754331933,0.29499158754331933
GRA,has_intro_body_conclusion,0.272158149726394,0.272158149726394
GRA,char_count,0.2699548282683991,0.2699548282683991
GRA,avg_word_len,0.2545994255570039,0.2545994255570039
GRA,long_word_ratio,0.24786011727964688,0.24786011727964688
GRA,paragraph_count,0.24548610000320414,0.24548610000320414
GRA,avg_content_word_len,0.24276297164849428,0.24276297164849428
GRA,paragraph_len_cv,0.23776924949541361,0.23776924949541361
GRA,lexical_density,0.20616892546878324,0.20616892546878324
GRA,paragraph_len_std,0.2058999064811436,0.2058999064811436
GRA,word_count,0.1971441988970516,0.1971441988970516
GRA,flesch_reading_ease_proxy,-0.1931062305491163,0.1931062305491163
GRA,top_content_word_ratio,-0.15781933020623948,0.15781933020623948
GRA,avg_paragraph_len,-0.15702303570090437,0.15702303570090437
GRA,adjacent_sentence_overlap_std,-0.1499585370526137,0.1499585370526137
GRA,exemplification_connective_count,0.1479773984889635,0.1479773984889635
GRA,conclusive_connective_count,0.13787985821779664,0.13787985821779664
GRA,adjacent_sentence_overlap_mean,-0.13219566012723255,0.13219566012723255
GRA,lowercase_i_per_100,-0.13173815419110155,0.13173815419110155
GRA,type_token_ratio,0.12173352076543077,0.12173352076543077
GRA,intro_thesis_signal,0.11970191233270734,0.11970191233270734
GRA,bigram_diversity,0.11798745037759242,0.11798745037759242
GRA,content_repetition_ratio,-0.11545172153401657,0.11545172153401657
GRA,complex_sentence_ratio,0.1142957889358042,0.1142957889358042
GRA,lexical_chain_coverage,-0.11424448314336863,0.11424448314336863
GRA,very_short_sentence_ratio,-0.11110281439202556,0.11110281439202556
GRA,lexical_chain_count,0.10844575046561948,0.10844575046561948
GRA,sentence_len_std,-0.09660802655114195,0.09660802655114195
GRA,contrastive_connective_count,0.09375075851797453,0.09375075851797453
GRA,flesch_kincaid_grade_proxy,0.09210614415762665,0.09210614415762665
GRA,intro_prompt_overlap,0.08715286371000415,0.08715286371000415
GRA,connective_count,0.08715209501036038,0.08715209501036038
GRA,informal_word_ratio,-0.08527619130171764,0.08527619130171764
GRA,comma_per_sentence,0.08382074509596497,0.08382074509596497
GRA,transition_sentence_start_ratio,0.0837928781470961,0.0837928781470961
GRA,trigram_diversity,0.08168926413342238,0.08168926413342238
GRA,repeated_word_error_per_100,-0.08150652400312093,0.08150652400312093
GRA,comma_splice_proxy,0.08146274744368542,0.08146274744368542
GRA,prompt_overlap,0.07745284963286336,0.07745284963286336
GRA,conclusion_signal,0.07499713810795447,0.07499713810795447
GRA,avg_lexical_chain_size,-0.07442916093499904,0.07442916093499904
GRA,very_long_sentence_ratio,-0.05794114412034204,0.05794114412034204
GRA,run_on_sentence_ratio,-0.05794114412034204,0.05794114412034204
GRA,conclusion_prompt_overlap,0.05665185810135186,0.05665185810135186
GRA,sentence_count,0.05569412308135705,0.05569412308135705
GRA,academic_word_ratio,0.04076772731100259,0.04076772731100259
GRA,intro_conclusion_jaccard,0.030022792596066796,0.030022792596066796
GRA,intro_body_jaccard,-0.02977548111716175,0.02977548111716175
GRA,prompt_word_count,0.028135131727405765,0.028135131727405765
GRA,num_large_lexical_chains,-0.025894812121805288,0.025894812121805288
GRA,sentence_start_repetition_ratio,0.02479420902149383,0.02479420902149383
GRA,body_conclusion_jaccard,-0.02393280788683502,0.02393280788683502
GRA,additive_connective_count,0.023572535274270983,0.023572535274270983
GRA,subordinator_ratio,-0.022485150948060115,0.022485150948060115
GRA,simple_sva_error_per_100,-0.0218827750308135,0.0218827750308135
GRA,body_prompt_overlap,0.02018372129020373,0.02018372129020373
GRA,connective_per_sentence,-0.01996790190750166,0.01996790190750166
GRA,causal_connective_count,0.013003024052167389,0.013003024052167389
GRA,temporal_connective_count,-0.011187224743769097,0.011187224743769097
GRA,avg_sentence_len,-0.008211341011719778,0.008211341011719778
GRA,semicolon_colon_per_sentence,0.003920907140039926,0.003920907140039926
GRA,prompt_bigram_overlap,0.0022221920190651744,0.0022221920190651744
LR,unique_word_count,0.2987789832299362,0.2987789832299362
LR,root_ttr,0.29233530940359037,0.29233530940359037
LR,char_count,0.27391536304265607,0.27391536304265607
LR,avg_word_len,0.233237180859152,0.233237180859152
LR,avg_content_word_len,0.23110732532400913,0.23110732532400913
LR,long_word_ratio,0.22830613487977883,0.22830613487977883
LR,paragraph_count,0.22666355843358207,0.22666355843358207
LR,has_intro_body_conclusion,0.21486403826686373,0.21486403826686373
LR,word_count,0.20908902984329827,0.20908902984329827
LR,paragraph_len_cv,0.19365874311235634,0.19365874311235634
LR,lexical_density,0.18348647040323046,0.18348647040323046
LR,flesch_reading_ease_proxy,-0.17873646690197256,0.17873646690197256
LR,paragraph_len_std,0.1627018750338121,0.1627018750338121
LR,top_content_word_ratio,-0.16123623678896912,0.16123623678896912
LR,exemplification_connective_count,0.1480768179276353,0.1480768179276353
LR,adjacent_sentence_overlap_std,-0.14744192362181904,0.14744192362181904
LR,conclusive_connective_count,0.13950229394895994,0.13950229394895994
LR,lowercase_i_per_100,-0.13382460588665754,0.13382460588665754
LR,adjacent_sentence_overlap_mean,-0.13094427998234257,0.13094427998234257
LR,content_repetition_ratio,-0.11681432997610262,0.11681432997610262
LR,complex_sentence_ratio,0.11634241071239713,0.11634241071239713
LR,lexical_chain_coverage,-0.11375242224471412,0.11375242224471412
LR,bigram_diversity,0.11276065422917733,0.11276065422917733
LR,lexical_chain_count,0.11096875753633395,0.11096875753633395
LR,very_short_sentence_ratio,-0.11021496445858633,0.11021496445858633
LR,type_token_ratio,0.10797142539166296,0.10797142539166296
LR,avg_paragraph_len,-0.10422568970253024,0.10422568970253024
LR,connective_count,0.09433737003140333,0.09433737003140333
LR,sentence_len_std,-0.08930410100429131,0.08930410100429131
LR,contrastive_connective_count,0.08857170756993081,0.08857170756993081
LR,flesch_kincaid_grade_proxy,0.08692440886090674,0.08692440886090674
LR,intro_thesis_signal,0.08499067912524444,0.08499067912524444
LR,transition_sentence_start_ratio,0.0841280931688438,0.0841280931688438
LR,repeated_word_error_per_100,-0.08282526898649631,0.08282526898649631
LR,prompt_overlap,0.08224198643625918,0.08224198643625918
LR,trigram_diversity,0.08128881670894098,0.08128881670894098
LR,informal_word_ratio,-0.07924139738277138,0.07924139738277138
LR,avg_lexical_chain_size,-0.07801154136828628,0.07801154136828628
LR,comma_per_sentence,0.07771102806205513,0.07771102806205513
LR,comma_splice_proxy,0.07256234812742035,0.07256234812742035
LR,intro_prompt_overlap,0.06103500622481362,0.06103500622481362
LR,sentence_count,0.05955655199372865,0.05955655199372865
LR,intro_body_jaccard,-0.05679759421868766,0.05679759421868766
LR,conclusion_signal,0.05598957137722699,0.05598957137722699
LR,very_long_sentence_ratio,-0.05211086378660828,0.05211086378660828
LR,run_on_sentence_ratio,-0.05211086378660828,0.05211086378660828
LR,body_conclusion_jaccard,-0.045380989863114014,0.045380989863114014
LR,conclusion_prompt_overlap,0.040785685770545636,0.040785685770545636
LR,body_prompt_overlap,0.04070709275989984,0.04070709275989984
LR,academic_word_ratio,0.03620165105830904,0.03620165105830904
LR,additive_connective_count,0.02768022723083133,0.02768022723083133
LR,num_large_lexical_chains,-0.02713207287461171,0.02713207287461171
LR,simple_sva_error_per_100,-0.02533030081321833,0.02533030081321833
LR,sentence_start_repetition_ratio,0.023408759566815325,0.023408759566815325
LR,subordinator_ratio,-0.020807910240726604,0.020807910240726604
LR,causal_connective_count,0.019613338573254313,0.019613338573254313
LR,prompt_word_count,0.017386536780748287,0.017386536780748287
LR,connective_per_sentence,-0.01640861137605019,0.01640861137605019
LR,intro_conclusion_jaccard,0.008070615323160932,0.008070615323160932
LR,avg_sentence_len,-0.004851195543345227,0.004851195543345227
LR,temporal_connective_count,-0.0005631121078058445,0.0005631121078058445
LR,semicolon_colon_per_sentence,-0.0004140161738046306,0.0004140161738046306
LR,prompt_bigram_overlap,-0.0002897483717170113,0.0002897483717170113
TR,unique_word_count,0.2853464412135724,0.2853464412135724
TR,char_count,0.2647441704006945,0.2647441704006945
TR,root_ttr,0.26269989435636165,0.26269989435636165
TR,word_count,0.22011020438642198,0.22011020438642198
TR,avg_content_word_len,0.1939744452061454,0.1939744452061454
TR,paragraph_count,0.17784756158513365,0.17784756158513365
TR,avg_word_len,0.17396489370738455,0.17396489370738455
