k,silhouette,adjusted_rand_vs_band_group
2,0.08819337027010367,0.012808855319001737
3,0.08830005915685486,0.03218696012594582
4,0.07157618465225192,0.026639959884145237
5,0.07863890683913934,0.02880037067397751
6,0.07772309539534467,0.029509836991188334
