band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc,other_count_per_doc,distinctiveness_score
low_le5,learn,1,707,461,0.19542178889359899,0.2997032640949555,0.0,0.2997032640949555
low_le5,house,1,696,232,0.0983467571004663,0.29504027130139887,0.0,0.29504027130139887
low_le5,country,1,687,379,0.16066129715981348,0.29122509537939806,0.0,0.29122509537939806
low_le5,community,1,681,283,0.11996608732513778,0.2886816447647308,0.0,0.2886816447647308
low_le5,different,1,680,478,0.2026282323018228,0.28825773632895296,0.0,0.28825773632895296
low_le5,good,1,1071,664,0.281475201356507,0.4540059347181009,0.3411432820621344,0.11286265265596651
low_le5,get,1,1170,702,0.29758372191606614,0.49597286986011024,0.3842488829312558,0.11172398692885444
low_le5,make,1,1197,785,0.3327681220856295,0.5074183976261127,0.4234124393753055,0.08400595825080726
low_le5,new,1,968,542,0.2297583721916066,0.4103433658329801,0.3333016002074669,0.07704176562551318
low_le5,job,1,976,459,0.19457397202204324,0.41373463331920307,0.3722635823172086,0.0414710510019945
low_le5,work,1,1682,755,0.32005086901229335,0.7130139889783806,0.6727582729011699,0.04025571607721079
low_le5,school,1,1190,486,0.2060194997880458,0.5044510385756676,0.4659565896858662,0.03849444888980147
low_le5,like,1,1020,691,0.29292072912250955,0.4323866044934294,0.39418175269504546,0.038204851798383954
low_le5,parents,1,877,396,0.1678677405680373,0.37176769817719374,0.3369067216179048,0.034860976559288936
low_le5,need,1,842,597,0.2530733361593896,0.3569309029249682,0.3251013591159838,0.031829543808984395
low_le5,government,1,1036,503,0.2132259431962696,0.4391691394658754,0.41180074928306964,0.027368390182805735
low_le5,health,1,791,391,0.16574819838914795,0.3353115727002967,0.32232104812332296,0.01299052457697375
low_le5,important,1,802,601,0.2547689699025011,0.33997456549385335,0.3301909135091454,0.00978365198470793
low_le5,education,1,1202,520,0.22043238660449344,0.5095379398050022,0.5003575809032909,0.009180358901711316
low_le5,money,1,997,552,0.23399745654938534,0.42263671047053836,0.41356073366585633,0.009075976804682029
low_le5,help,1,1132,718,0.3043662568885121,0.4798643493005511,0.4767175435219194,0.0031468057786316894
low_le5,technology,1,733,333,0.14116150911403136,0.3107248834251802,0.308411214953271,0.0023136684719091694
low_le5,use,1,768,480,0.20347604917337855,0.3255616786774057,0.3263754127626769,-0.0008137340852711894
