band,count,pct
0.0,5,0.0516422226812642
0.5,4,0.04131377814501136
1.0,14,0.14459822350753976
1.5,27,0.2788680024788267
2.0,50,0.5164222268126419
2.5,240,2.478826688700682
3.0,352,3.635612476761
3.5,457,4.720099153067548
4.0,543,5.608345383185292
4.5,299,3.0882049163395995
5.0,368,3.8008675893410455
5.5,886,9.151001859120017
6.0,1604,16.566825036149556
6.5,1516,15.657921916959305
7.0,1349,13.933071679405082
7.5,849,8.768849411278662
8.0,644,6.651518281346829
8.5,234,2.4168560214831647
9.0,241,2.4891551332369346
