TSNE1,TSNE2,target_band_rounded,target_band_group_pr
-4.851559,5.255921,6.5,upper_mid_6_5_7
-38.24158,-3.1690836,7.5,high_7_5_8
-11.290674,12.824948,7.0,upper_mid_6_5_7
-36.546825,12.97681,7.0,upper_mid_6_5_7
-8.993549,-14.940925,6.5,upper_mid_6_5_7
37.750725,25.485836,3.0,low_0_4
1.3947045,-16.785784,7.0,upper_mid_6_5_7
10.879909,7.546346,6.0,mid_5_5_6
21.343098,16.100899,4.5,lower_mid_4_5_5
-0.9518154,-3.3995366,7.0,upper_mid_6_5_7
2.6780794,-22.647293,6.0,mid_5_5_6
15.804846,-5.174833,6.5,upper_mid_6_5_7
-16.15286,-19.76157,7.0,upper_mid_6_5_7
11.968206,-26.06371,3.0,low_0_4
19.837011,6.2723246,6.5,upper_mid_6_5_7
7.9867744,11.188946,6.5,upper_mid_6_5_7
-31.627748,-6.410839,7.5,high_7_5_8
40.18157,-6.512881,5.5,mid_5_5_6
-10.492769,-24.452686,6.0,mid_5_5_6
1.0622665,-16.852701,4.0,low_0_4
1.2771342,-32.833275,3.5,low_0_4
-21.375477,31.361965,8.0,high_7_5_8
21.018768,13.354816,6.0,mid_5_5_6
6.671087,-24.081593,4.0,low_0_4
-15.34731,-21.10267,4.0,low_0_4
5.7705593,3.486,8.0,high_7_5_8
33.82092,24.036348,5.0,lower_mid_4_5_5
-34.163017,-19.392744,5.5,mid_5_5_6
-11.526915,-22.102566,6.0,mid_5_5_6
36.021397,21.497065,6.0,mid_5_5_6
-40.16734,9.37931,5.5,mid_5_5_6
-4.0518923,-3.3374007,7.0,upper_mid_6_5_7
-3.715775,1.8144946,8.5,very_high_8_5_9
-24.648321,-4.442237,7.5,high_7_5_8
-22.696041,-11.2826185,6.5,upper_mid_6_5_7
15.327257,-6.960985,8.0,high_7_5_8
4.681212,30.201862,6.0,mid_5_5_6
-7.9370055,41.301903,5.5,mid_5_5_6
15.595515,-12.951907,7.5,high_7_5_8
0.3420451,21.12686,6.5,upper_mid_6_5_7
0.2513906,21.15532,6.0,mid_5_5_6
-0.56189793,-6.160461,6.0,mid_5_5_6
-16.776266,-23.950024,8.5,very_high_8_5_9
19.161543,-25.501839,3.0,low_0_4
-20.281782,6.015178,6.0,mid_5_5_6
-40.570324,1.7329737,3.5,low_0_4
45.33609,2.2131674,7.5,high_7_5_8
-1.1799914,-12.107522,7.0,upper_mid_6_5_7
2.3162625,3.034719,6.5,upper_mid_6_5_7
9.984308,-32.024612,2.5,low_0_4
49.347446,-0.18425196,8.0,high_7_5_8
-6.1615205,-25.75561,3.0,low_0_4
41.82408,-9.13565,5.5,mid_5_5_6
28.176668,-18.941723,3.0,low_0_4
-31.49072,11.616507,7.5,high_7_5_8
-7.8134003,-6.8779364,5.0,lower_mid_4_5_5
-27.566381,-6.76318,6.5,upper_mid_6_5_7
23.266209,14.034086,5.5,mid_5_5_6
-38.04641,16.575756,7.5,high_7_5_8
11.009042,-4.6073155,6.0,mid_5_5_6
-19.134676,-4.0706687,6.5,upper_mid_6_5_7
10.695663,18.628353,7.5,high_7_5_8
-6.456751,41.857327,3.0,low_0_4
2.3820207,-5.623098,7.0,upper_mid_6_5_7
-1.8509564,6.3555384,6.0,mid_5_5_6
21.136024,-2.6210628,6.0,mid_5_5_6
1.9297508,2.7897563,7.0,upper_mid_6_5_7
1.2463162,35.79496,6.0,mid_5_5_6
52.619976,0.48359782,8.0,high_7_5_8
5.2302184,31.14744,3.5,low_0_4
-24.406294,-8.991081,8.0,high_7_5_8
-23.08298,13.703595,6.5,upper_mid_6_5_7
-5.684385,28.432373,4.5,lower_mid_4_5_5
-2.7483351,-32.319057,2.5,low_0_4
-27.147802,-1.9660472,8.0,high_7_5_8
-14.613001,-19.968859,5.5,mid_5_5_6
-17.009075,-7.588284,7.0,upper_mid_6_5_7
7.7872148,3.5187252,3.5,low_0_4
48.32964,-1.3885514,7.5,high_7_5_8
-11.7779665,-13.638244,5.5,mid_5_5_6
-11.894735,2.7086134,3.5,low_0_4
36.48145,-0.64984417,6.5,upper_mid_6_5_7
11.392538,-13.351516,6.5,upper_mid_6_5_7
-32.43678,-3.3904808,7.5,high_7_5_8
-23.660868,10.878149,7.0,upper_mid_6_5_7
61.374275,-18.035467,9.0,very_high_8_5_9
-20.968592,4.0809646,4.0,low_0_4
32.166172,-9.702012,4.0,low_0_4
-30.803015,21.796331,8.0,high_7_5_8
28.253061,12.856914,6.0,mid_5_5_6
-9.188226,-18.591623,6.0,mid_5_5_6
-0.5391873,30.46161,5.5,mid_5_5_6
3.4231038,-12.321576,4.5,lower_mid_4_5_5
-23.193321,21.561129,6.0,mid_5_5_6
11.970553,-14.063218,6.0,mid_5_5_6
2.5708961,12.099264,6.5,upper_mid_6_5_7
-33.416206,13.263244,7.0,upper_mid_6_5_7
-1.4462334,-24.05191,5.0,lower_mid_4_5_5
18.245153,9.449938,6.5,upper_mid_6_5_7
-25.89286,-4.170183,7.5,high_7_5_8
13.924316,18.80039,4.5,lower_mid_4_5_5
5.353235,-28.198875,6.5,upper_mid_6_5_7
21.970488,9.770263,7.5,high_7_5_8
11.42091,-31.249369,2.5,low_0_4
-28.684265,-4.09003,7.5,high_7_5_8
-0.31790122,23.794777,6.0,mid_5_5_6
48.712975,-8.247324,8.5,very_high_8_5_9
2.3611436,-7.124534,5.5,mid_5_5_6
-5.860904,-4.27641,8.5,very_high_8_5_9
51.19178,-1.7050401,8.0,high_7_5_8
18.220789,25.74419,4.5,lower_mid_4_5_5
57.3393,-20.644203,8.0,high_7_5_8
-12.468633,-21.41553,8.5,very_high_8_5_9
-13.184701,6.2785606,6.0,mid_5_5_6
17.357132,18.097233,5.0,lower_mid_4_5_5
34.829647,-2.9240968,5.5,mid_5_5_6
10.134068,-12.1545725,8.0,high_7_5_8
58.5439,-16.725624,9.0,very_high_8_5_9
1.1984382,24.741245,7.0,upper_mid_6_5_7
-14.737249,-22.459953,6.0,mid_5_5_6
-14.091739,11.399534,7.0,upper_mid_6_5_7
48.176773,-0.18493436,7.5,high_7_5_8
8.632786,26.584856,5.0,lower_mid_4_5_5
-3.0091224,-12.503409,7.0,upper_mid_6_5_7
42.22662,-20.128023,9.0,very_high_8_5_9
-19.294304,13.5681925,4.0,low_0_4
13.852728,22.510927,3.0,low_0_4
3.4232967,-1.8174876,5.5,mid_5_5_6
-7.630079,-16.06123,6.0,mid_5_5_6
-12.103892,-1.4113722,6.0,mid_5_5_6
-27.597225,28.666391,6.0,mid_5_5_6
55.363678,-16.25022,8.0,high_7_5_8
-6.4542418,-17.236025,7.0,upper_mid_6_5_7
-7.16541,-14.288762,7.5,high_7_5_8
-15.499115,18.516386,6.0,mid_5_5_6
-17.29069,25.466377,6.0,mid_5_5_6
3.0259554,10.214916,6.0,mid_5_5_6
-3.3460844,-3.409679,8.0,high_7_5_8
3.1938963,27.724686,7.5,high_7_5_8
2.3256254,26.496498,7.0,upper_mid_6_5_7
-13.0009165,-26.480978,3.5,low_0_4
4.570162,-20.03431,2.0,low_0_4
34.650738,-15.117895,6.0,mid_5_5_6
3.5478601,-6.3116913,6.0,mid_5_5_6
3.6386187,-18.319002,6.5,upper_mid_6_5_7
-40.660683,13.783262,3.0,low_0_4
5.6467543,25.427074,3.5,low_0_4
-1.0835876,-19.033693,6.0,mid_5_5_6
0.3819369,10.975811,6.0,mid_5_5_6
-27.40963,18.204168,6.0,mid_5_5_6
38.560383,-2.4013045,9.0,very_high_8_5_9
12.311435,15.908039,3.0,low_0_4
24.995382,14.487422,8.0,high_7_5_8
-30.051437,-15.683404,2.5,low_0_4
4.4829063,2.7093518,7.5,high_7_5_8
46.591473,-4.0611596,8.0,high_7_5_8
2.158071,-17.52003,6.5,upper_mid_6_5_7
-6.8874884,17.081099,3.5,low_0_4
15.278628,5.78953,7.5,high_7_5_8
1.8533889,29.344135,6.0,mid_5_5_6
-0.90430796,23.363882,6.5,upper_mid_6_5_7
3.578143,-0.0019865572,4.0,low_0_4
-15.346386,-15.079966,6.5,upper_mid_6_5_7
13.824241,22.570236,2.5,low_0_4
41.02803,-7.5365415,4.5,lower_mid_4_5_5
-32.45731,6.2966347,6.0,mid_5_5_6
11.939369,14.860962,3.5,low_0_4
-19.822975,0.24988008,8.0,high_7_5_8
34.514385,-6.543976,6.0,mid_5_5_6
-14.260063,-22.120674,6.0,mid_5_5_6
8.595929,20.86261,5.5,mid_5_5_6
-6.0963597,-25.235744,4.0,low_0_4
49.10872,-1.8314036,8.0,high_7_5_8
7.277831,-12.309979,6.0,mid_5_5_6
-6.329612,-12.291723,5.5,mid_5_5_6
0.90004855,0.38936633,7.0,upper_mid_6_5_7
20.0598,7.095904,5.5,mid_5_5_6
-22.79949,-17.479969,5.0,lower_mid_4_5_5
-11.73843,-11.386129,6.0,mid_5_5_6
-5.955732,32.092598,5.5,mid_5_5_6
-31.049223,15.170333,6.5,upper_mid_6_5_7
40.729485,-10.826636,5.5,mid_5_5_6
34.31344,-13.407117,5.5,mid_5_5_6
-4.481743,-3.578825,8.5,very_high_8_5_9
-2.8124468,43.348316,6.5,upper_mid_6_5_7
13.394693,-1.0691288,6.0,mid_5_5_6
32.53773,-12.286642,7.0,upper_mid_6_5_7
-38.406628,19.691578,1.5,low_0_4
3.3140235,-12.563942,7.0,upper_mid_6_5_7
-3.4155807,9.079734,5.5,mid_5_5_6
-10.206105,29.282717,7.0,upper_mid_6_5_7
-5.928345,7.856237,7.0,upper_mid_6_5_7
-4.9093723,-7.299337,8.0,high_7_5_8
50.677483,-4.871616,8.5,very_high_8_5_9
-33.89929,1.0076824,6.0,mid_5_5_6
-6.9559727,6.4180512,5.5,mid_5_5_6
-30.642553,-5.308474,8.5,very_high_8_5_9
50.488224,-2.0980272,8.0,high_7_5_8
3.4324837,0.23776425,3.5,low_0_4
-18.036858,11.661414,8.0,high_7_5_8
-34.999367,25.124454,3.5,low_0_4
19.52239,14.319279,6.0,mid_5_5_6
-34.176205,8.776306,6.5,upper_mid_6_5_7
14.695269,-17.787151,5.5,mid_5_5_6
-34.73188,24.78017,5.5,mid_5_5_6
5.6217957,1.6831329,6.5,upper_mid_6_5_7
-13.747814,-13.213942,8.5,very_high_8_5_9
-7.736617,-20.320929,6.5,upper_mid_6_5_7
32.01594,-12.289381,4.0,low_0_4
1.4470811,-5.6659713,7.0,upper_mid_6_5_7
3.909521,29.475662,7.0,upper_mid_6_5_7
31.517166,-15.996078,4.0,low_0_4
59.283684,-17.465,9.0,very_high_8_5_9
12.931097,-6.8652043,6.0,mid_5_5_6
-3.8687375,25.104633,7.5,high_7_5_8
6.1423683,33.65644,3.5,low_0_4
33.10855,-20.761219,4.0,low_0_4
-12.486941,-17.014162,7.0,upper_mid_6_5_7
36.217224,-2.4062097,8.5,very_high_8_5_9
35.084484,-1.1788507,5.5,mid_5_5_6
39.431107,20.0949,4.0,low_0_4
49.998215,1.3914,8.0,high_7_5_8
42.748554,-9.583172,7.0,upper_mid_6_5_7
1.5256187,-21.529093,6.5,upper_mid_6_5_7
-26.934912,-8.565873,7.5,high_7_5_8
16.237198,13.716689,5.0,lower_mid_4_5_5
-28.605331,10.9551525,6.0,mid_5_5_6
58.1415,-16.222195,7.0,upper_mid_6_5_7
-2.9632695,-18.910217,5.5,mid_5_5_6
-3.2805724,25.06275,7.0,upper_mid_6_5_7
-14.909568,-2.3106923,6.5,upper_mid_6_5_7
4.8696156,26.480724,5.5,mid_5_5_6
-6.82297,-1.0151807,6.5,upper_mid_6_5_7
-16.37717,2.6177323,7.5,high_7_5_8
-19.730629,20.854528,6.0,mid_5_5_6
4.541586,7.4411726,6.5,upper_mid_6_5_7
11.662779,-11.517404,6.0,mid_5_5_6
-1.8829869,5.6668515,6.5,upper_mid_6_5_7
-25.571417,-13.940808,5.5,mid_5_5_6
-36.411526,0.84384763,5.5,mid_5_5_6
-18.055342,23.035944,5.0,lower_mid_4_5_5
40.25353,-11.741053,7.0,upper_mid_6_5_7
-31.661041,13.974111,6.5,upper_mid_6_5_7
-2.4032323,-31.06351,4.0,low_0_4
-10.266106,-8.567613,6.5,upper_mid_6_5_7
45.494854,-7.545153,5.5,mid_5_5_6
-15.187117,4.5173182,7.5,high_7_5_8
21.284634,18.778463,4.0,low_0_4
-9.36374,16.322899,5.0,lower_mid_4_5_5
36.39633,24.797752,3.5,low_0_4
42.227757,-11.490566,6.0,mid_5_5_6
-24.760153,-27.953156,5.5,mid_5_5_6
39.11827,-1.6629276,4.0,low_0_4
25.790396,5.015608,4.0,low_0_4
13.521897,-23.63691,5.5,mid_5_5_6
-0.4503222,8.291536,6.5,upper_mid_6_5_7
-20.452995,-1.4807636,7.5,high_7_5_8
13.233463,-9.57574,6.0,mid_5_5_6
-20.471132,2.294359,6.0,mid_5_5_6
-7.130311,44.656376,5.5,mid_5_5_6
26.326782,14.386819,5.0,lower_mid_4_5_5
12.818497,-9.134327,6.0,mid_5_5_6
-2.713111,32.707928,4.0,low_0_4
-5.2798543,42.94407,4.5,lower_mid_4_5_5
-5.4193215,-11.976524,5.5,mid_5_5_6
-8.4959545,-10.246778,6.0,mid_5_5_6
-9.335589,1.7329106,5.5,mid_5_5_6
-18.875744,27.330124,4.0,low_0_4
-36.19352,15.810516,4.5,lower_mid_4_5_5
